Date,Open,High,Low,Close,Adj Close,Volume,Return Series
13/06/2017,2134.439941,2202.52002,1841.849976,1943.949951,1943.949951,6139114,-0.089245889
12/06/2017,2092.51001,2199.939941,2081.580078,2134.439941,2134.439941,4124775,0.020038103
11/06/2017,2342.590088,2364.540039,1968.680054,2092.51001,2092.51001,8247419,-0.106753665
10/06/2017,2278.199951,2345.310059,2244.030029,2342.590088,2342.590088,2218976,0.028263602
09/06/2017,2220.22998,2288.290039,2208.189941,2278.199951,2278.199951,3007507,0.026109895
08/06/2017,2162.199951,2248.969971,2160.590088,2220.22998,2220.22998,4260930,0.026838419
07/06/2017,2097.449951,2202.709961,2039.890015,2162.199951,2162.199951,3839969,0.03087082
06/06/2017,2241.649902,2249.330078,2039.77002,2097.449951,2097.449951,4616039,-0.064327597
05/06/2017,2093.060059,2279.139893,2091.909912,2241.649902,2241.649902,6882099,0.070991677
04/06/2017,1972.880005,2093.080078,1968.670044,2093.060059,2093.060059,3666529,0.060916048
03/06/2017,1992.630005,1999.449951,1930.219971,1972.880005,1972.880005,1697385,-0.009911524
02/06/2017,1951.930054,2018.619995,1927.670044,1992.630005,1992.630005,1788720,0.020851132
01/06/2017,1883.359985,1952.180054,1861.939941,1951.930054,1951.930054,2386483,0.036408371
31/05/2017,1799.48999,1933.670044,1798.160034,1883.359985,1883.359985,3301305,0.046607647
30/05/2017,1734.02002,1829.219971,1706.300049,1799.48999,1799.48999,4005109,0.037756179
29/05/2017,1793.140015,1830.48999,1687.160034,1734.02002,1734.02002,4746481,-0.032970094
28/05/2017,1750.859985,1837.119995,1690.25,1793.140015,1793.140015,2528456,0.02414815
27/05/2017,1658.790039,1857.209961,1631.959961,1750.859985,1750.859985,2005139,0.055644345
26/05/2017,1773.25,1882.140015,1480.140015,1658.569946,1658.569946,3614963,-0.064672242
25/05/2017,1832.130005,2041.199951,1610.829956,1773.25,1773.25,7127822,-0.015419051
24/05/2017,1869.73999,2162.429932,1717.140015,1801.02002,1801.02002,2699353,-0.036753757
23/05/2017,1756.22998,1964.25,1729.670044,1869.73999,1869.73999,1867059,0.064632771
22/05/2017,1616.319946,1763.880005,1620.300049,1756.22998,1756.22998,1355342,0.086560853
21/05/2017,1556.109985,1738.27002,1521.420044,1616.319946,1616.319946,1728438,0.038692613
20/05/2017,1577.099976,1608.050049,1521.579956,1556.109985,1556.109985,1026992,-0.013309233
19/05/2017,1517.439941,1580.630005,1504.369995,1577.099976,1577.099976,792532,0.039316241
18/05/2017,1463.050049,1533.170044,1446.77002,1517.439941,1517.439941,914293,0.037175688
17/05/2017,1412.869995,1494.369995,1392.75,1463.050049,1463.050049,577606,0.035516399
16/05/2017,1408.630005,1455.910034,1364.650024,1412.869995,1412.869995,652944,0.00301001
15/05/2017,1366.030029,1425.869995,1312.079956,1408.630005,1408.630005,630216,0.031185241
14/05/2017,1406.329956,1940.869995,1322.390015,1366.030029,1366.030029,662495,-0.028656097
13/05/2017,1396.72998,1440.51001,1371.449951,1406.329956,1406.329956,378125,0.00687318
12/05/2017,1324.97998,1399.849976,1257.180054,1396.72998,1396.72998,570046,0.054151762
11/05/2017,1440.26001,1454.150024,1284.959961,1324.97998,1324.97998,719619,-0.080041124
10/05/2017,1413.930054,1476.25,1378.27002,1440.26001,1440.26001,619882,0.018621824
09/05/2017,1334.630005,1415.23999,1314.540039,1413.930054,1413.930054,558986,0.059417253
08/05/2017,1302.869995,1395.22998,1287.23999,1334.630005,1334.630005,735555,0.02437696
07/05/2017,1240.26001,1314.72998,1216.869995,1302.869995,1302.869995,709121,0.050481338
06/05/2017,1220.310059,1252.630005,1195.030029,1240.26001,1240.26001,416117,0.016348264
05/05/2017,1200.660034,1233.880005,1194.459961,1220.310059,1220.310059,314595,0.016366019
04/05/2017,1198.339966,1264.349976,1171.349976,1200.660034,1200.660034,479592,0.001936068
03/05/2017,1190.849976,1285.920044,1147.72998,1198.339966,1198.339966,787716,0.006289617
02/05/2017,1136.780029,1190.849976,1124.25,1190.849976,1190.849976,354804,0.047564125
01/05/2017,1099.22998,1163.26001,1100.660034,1136.780029,1136.780029,396871,0.034160321
30/04/2017,1060.160034,1122.52002,1024.849976,1099.22998,1099.22998,569205,0.036852876
29/04/2017,1051.109985,1065.630005,1019.719971,1060.160034,1060.160034,292184,0.008609992
28/04/2017,1055.410034,1061.5,1032.280029,1051.109985,1051.109985,280929,-0.004074292
27/04/2017,1043.599976,1076.939941,1001.119995,1055.410034,1055.410034,435379,0.011316652
26/04/2017,1012.52002,1051.77002,991.650024,1043.599976,1043.599976,382016,0.030695646
25/04/2017,1000.140015,1030.349976,992.030029,1012.52002,1012.52002,326235,0.012378272
24/04/2017,981.900024,1003.869995,977.909973,1000.140015,1000.140015,242402,0.01857622
23/04/2017,978.849976,984.619995,965.140015,981.900024,981.900024,235943,0.00311595
22/04/2017,971.539978,983.25,964.330017,978.849976,978.849976,159322,0.007524135
21/04/2017,979.570007,985.349976,953.969971,971.539978,971.539978,203098,-0.008197504
